,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
7.878787878787879e+00,-1.794810630808191e+02,-1.435363071304999e+02,-2.097824913836534e+02,-1.476878807839233e+02,-1.388725309701319e+02,-2.463658203633096e+02
7.979797979797979e+00,-1.823297383654878e+02,-1.458144768914577e+02,-2.131121028095215e+02,-1.500319432081849e+02,-1.410766785270019e+02,-2.502760725727033e+02
8.080808080808081e+00,-1.851827292794700e+02,-1.480960979886398e+02,-2.164467584637540e+02,-1.523795567934247e+02,-1.432841652794126e+02,-2.541922486580644e+02
8.181818181818182e+00,-1.880399511540206e+02,-1.503811027099501e+02,-2.197863593831512e+02,-1.547306518690753e+02,-1.454949257153667e+02,-2.581142323983025e+02
8.282828282828282e+00,-1.909013220275448e+02,-1.526694255082807e+02,-2.231308097687065e+02,-1.570851609921762e+02,-1.477088964175103e+02,-2.620419112883147e+02
8.383838383838384e+00,-1.937667625269098e+02,-1.549610029065928e+02,-2.264800168468802e+02,-1.594430188497101e+02,-1.499260159712983e+02,-2.659751763760663e+02
8.484848484848484e+00,-1.966361957553161e+02,-1.572557734082447e+02,-2.298338907385400e+02,-1.618041621663366e+02,-1.521462248782354e+02,-2.699139221086772e+02
8.585858585858587e+00,-1.995095471862943e+02,-1.595536774122177e+02,-2.331923443350622e+02,-1.641685296171664e+02,-1.543694654738571e+02,-2.738580461869165e+02
8.686868686868687e+00,-2.023867445634260e+02,-1.618546571329200e+02,-2.365552931811219e+02,-1.665360617452456e+02,-1.565956818501384e+02,-2.778074494275527e+02
8.787878787878787e+00,-2.052677178054173e+02,-1.641586565242708e+02,-2.399226553637407e+02,-1.689067008834442e+02,-1.588248197820460e+02,-2.817620356330530e+02
8.888888888888889e+00,-2.081523989161822e+02,-1.664656212077921e+02,-2.432943514071898e+02,-1.712803910804677e+02,-1.610568266579651e+02,-2.857217114681583e+02
8.989898989898990e+00,-2.110407218996188e+02,-1.687754984044518e+02,-2.466703041733774e+02,-1.736570780307292e+02,-1.632916514137580e+02,-2.896863863429005e+02
9.090909090909090e+00,-2.139326226787834e+02,-1.710882368700257e+02,-2.500504387673780e+02,-1.760367090078416e+02,-1.655292444702257e+02,-2.936559723016563e+02
9.191919191919192e+00,-2.168280390191908e+02,-1.734037868337578e+02,-2.534346824477828e+02,-1.784192328015042e+02,-1.677695576737618e+02,-2.976303839178644e+02
