r2,r1,n,free_energy,tension
82.00000000,75.44000000,2.00000000,141.22972638,3.15681335
82.20000000,75.62400000,2.00000000,141.86448462,3.19085809
82.40000000,75.80800000,2.00000000,142.50610559,3.22544245
82.60000000,75.99200000,2.00000000,143.15469836,3.26057815
82.80000000,76.17600000,2.00000000,143.81037440,3.29627720
83.00000000,76.36000000,2.00000000,144.47324762,3.33255198
83.20000000,76.54400000,2.00000000,145.14343442,3.36941519
83.40000000,80.89800000,3.00000000,145.48481738,1.65042760
83.60000000,81.09200000,3.00000000,145.81607857,1.66220298
83.80000000,81.28600000,3.00000000,146.14970612,1.67409153
84.00000000,81.48000000,3.00000000,146.48572283,1.68609476
84.20000000,81.67400000,3.00000000,146.82415177,1.69821420
84.40000000,81.86800000,3.00000000,147.16501636,1.71045141
84.60000000,82.06200000,3.00000000,147.50834029,1.72280797
84.80000000,82.25600000,3.00000000,147.85414761,1.73528552
85.00000000,82.45000000,3.00000000,148.20246267,1.74788568
85.20000000,82.64400000,3.00000000,148.55331017,1.76061013
85.40000000,82.83800000,3.00000000,148.90671512,1.77346056
85.60000000,83.03200000,3.00000000,149.26270291,1.78643870
85.80000000,83.22600000,3.00000000,149.62129923,1.79954631
86.00000000,83.42000000,3.00000000,149.98253018,1.81278517
86.20000000,83.61400000,3.00000000,150.34642217,1.82615710
86.40000000,83.80800000,3.00000000,150.71300201,1.83966394
86.60000000,84.00200000,3.00000000,151.08229687,1.85330758
86.80000000,83.32800000,3.00000000,151.44956483,1.83462882
87.00000000,83.52000000,3.00000000,151.81781423,1.84788697
87.20000000,83.71200000,3.00000000,152.18872838,1.86127648
87.40000000,83.90400000,3.00000000,152.56233370,1.87479913
87.60000000,84.09600000,3.00000000,152.93865703,1.88845679
87.80000000,84.28800000,3.00000000,153.31772554,1.90225129
88.00000000,84.48000000,3.00000000,153.69956680,1.91618455
88.20000000,84.67200000,3.00000000,154.08420874,1.93025850
88.40000000,84.86400000,3.00000000,154.47167971,1.94447511
88.60000000,85.05600000,3.00000000,154.86200843,1.95883636
88.80000000,85.24800000,3.00000000,155.25522403,1.97334431
89.00000000,85.44000000,3.00000000,155.65135607,1.98800102
89.20000000,85.63200000,3.00000000,156.05043450,2.00280859
89.40000000,85.82400000,3.00000000,156.45248970,2.01776917
89.60000000,86.01600000,3.00000000,156.85755251,2.03288495
89.80000000,86.20800000,3.00000000,157.26565418,2.04815814
90.00000000,0.00000000,5.00000000,157.34862848,0.00000000
90.20000000,0.00000000,5.00000000,157.34862848,0.00000000
90.40000000,0.00000000,5.00000000,157.34862848,0.00000000
90.60000000,0.00000000,5.00000000,157.34862848,0.00000000
90.80000000,0.00000000,5.00000000,157.34862848,0.00000000
91.00000000,0.00000000,5.00000000,157.34862848,0.00000000
91.20000000,0.00000000,5.00000000,157.34862848,0.00000000
91.40000000,0.00000000,5.00000000,157.34862848,0.00000000
91.60000000,0.00000000,5.00000000,157.34862848,0.00000000
91.80000000,0.00000000,5.00000000,157.34862848,0.00000000
92.00000000,0.00000000,5.00000000,157.34862848,0.00000000
92.20000000,0.00000000,5.00000000,157.34862848,0.00000000
92.40000000,0.00000000,5.00000000,157.34862848,0.00000000
