r,n_opt,F_min,partial_F_r,eefactor
7.507754,0.904464,14.518883,0.758755,0.415039
7.523762,0.905003,14.531046,0.760923,0.415676
7.539770,0.904731,14.543257,0.764342,0.416686
7.555778,0.905271,14.555498,0.766522,0.417321
7.571786,0.905811,14.567792,0.768705,0.417956
7.587794,0.905541,14.580125,0.772158,0.418965
7.603802,0.906081,14.592497,0.774354,0.419598
7.619810,0.906622,14.604922,0.776554,0.420231
7.635818,0.906353,14.617378,0.780041,0.421239
7.651826,0.906894,14.629883,0.782254,0.421870
7.667834,0.906626,14.642436,0.785767,0.422877
7.683842,0.907167,14.655021,0.787992,0.423507
7.699850,0.907709,14.667658,0.790221,0.424137
7.715858,0.907443,14.680337,0.793769,0.425143
7.731866,0.907984,14.693055,0.796011,0.425771
7.747874,0.908526,14.705826,0.798257,0.426398
7.763882,0.908262,14.718631,0.801840,0.427403
7.779890,0.908804,14.731483,0.804099,0.428029
7.795898,0.908540,14.744388,0.807710,0.429034
7.811906,0.909083,14.757322,0.809981,0.429659
7.827914,0.909625,14.770310,0.812257,0.430282
7.843922,0.909364,14.783343,0.815904,0.431286
7.859930,0.909907,14.796413,0.818193,0.431909
7.875938,0.910450,14.809537,0.820487,0.432530
7.891946,0.910189,14.822700,0.824170,0.433533
7.907954,0.910733,14.835907,0.826477,0.434153
7.923962,0.911276,14.849168,0.828787,0.434773
7.939970,0.911017,14.862462,0.832508,0.435775
7.955978,0.911561,14.875807,0.834832,0.436393
7.971986,0.911304,14.889204,0.838581,0.437394
7.987994,0.911848,14.902632,0.840919,0.438011
8.004002,0.912392,14.916116,0.843261,0.438627
8.020010,0.912136,14.929647,0.847048,0.439628
8.036018,0.912681,14.943214,0.849404,0.440242
8.052026,0.913225,14.956837,0.851764,0.440856
8.068034,0.912971,14.970503,0.855589,0.441856
8.084042,0.913516,14.984211,0.857963,0.442468
8.100050,0.914061,14.997975,0.860342,0.443080
8.116058,0.913809,15.011776,0.864205,0.444079
8.132066,0.914354,15.025626,0.866598,0.444689
8.148074,0.914899,15.039531,0.868995,0.445299
8.164082,0.914648,15.053470,0.872898,0.446296
8.180090,0.915194,15.067461,0.875310,0.446905
8.196098,0.914944,15.081509,0.879243,0.447901
8.212106,0.915491,15.095587,0.881668,0.448509
8.228114,0.916037,15.109721,0.884098,0.449115
